,0
1221,PCOLCE
1222,TFPI2
1223,PCK1
1224,MRC1
1225,MAPK13
1226,TRADD
1227,POLR2E
1228,GNPDA1
1229,CFTR
1230,IFIT1
1231,IQSEC1
1232,SLC30A2
1233,RPL32
1234,F10
1235,LRRC8D
1236,BNIP2
1237,CLSPN
1238,RYR2
1239,NTF4
1240,LDLR
1241,BOK
1242,TYMP
1243,NUDT3
1244,KIFAP3
1245,SLC9B2
1246,SNAPC3
1247,RASGRP1
1248,ITPR1
1249,TMBIM6
1250,BTD
1251,PML
1252,DPP3
1253,SLC39A5
1254,ABCB4
1255,NF1
1256,GRINA
1257,ASF1A
1258,AP1G1
1259,CCDC113
1260,RSL1D1
1261,CD248
1262,GCLC
1263,DHX32
1264,AFAP1L2
1265,FBL
1266,MAP4K5
1267,BST2
1268,SNX7
1269,RIN1
1270,MKKS
1271,P2RX4
1272,MUC16
1273,TNPO1
1274,SLC35F6
1275,CSTB
1276,RAP1GAP
1277,AKAP17A
1278,ZMYM2
1279,YIF1A
1280,EVL
1281,WNT7A
1282,RNF170
1283,PDK4
1284,PNLDC1
1285,STRN
1286,IQCE
1287,FBP1
1288,ENGASE
1289,PMPCA
1290,EIF2AK4
1291,TNFRSF14
1292,C1orf56
1293,CD1A
1294,ATF6B
1295,ATP2B4
1296,CRHR2
1297,PFKL
1298,BRMS1L
1299,RAB3GAP1
1300,PKP1
1301,AKAP1
1302,CCL28
1303,IFT20
1304,SAP30BP
1305,CLDN14
1306,DPYSL2
1307,KPNA6
1308,ALG5
1309,MOCS2
1310,EMC1
1311,UFM1
1312,CYBRD1
1313,TLE1
1314,IGFBP5
1315,RPL28
1316,TACO1
1317,CDC37
1318,FRS3
1319,PHF11
1320,KRT31
1321,UROS
1322,KRT5
1323,NUP214
1324,PRKCSH
1325,TMEM45B
1326,LAMP5
1327,SP8
1328,KCTD14
1329,ATP11B
1330,SPON1
1331,EML4
1332,PITX1
1333,DCLK1
1334,RAD21
1335,TEX19
1336,RHBDF1
1337,EFNB1
1338,RNF135
1339,ALS2CL
1340,CTBS
1341,INHBE
1342,NEDD1
1343,INPP5B
1344,SMARCAD1
1345,KCTD15
1346,HSPB11
1347,MSTN
1348,LY6D
1349,TBCCD1
1350,CD83
1351,ADH4
1352,SUCLA2
1353,RPS6KA2
1354,TWF2
1355,BDP1
1356,ARFGAP2
1357,CYP7B1
1358,MIER3
1359,PLEKHB1
1360,TIMM23
1361,IFT52
1362,NRBP2
1363,SMARCA5
1364,TRIM56
1365,APLP1
1366,AGPS
1367,DNALI1
1368,IPMK
1369,LAMTOR1
1370,RRN3
1371,PGLS
1372,UGGT1
1373,GTF2E1
1374,POLR2H
1375,SSX2IP
1376,LMF2
1377,CMTM4
1378,RBM5
1379,USP33
1380,DRD2
1381,TSPAN5
1382,HSPA5
1383,SCGB3A1
1384,DYNLT1
1385,CDC25B
1386,RER1
1387,ATF6
1388,TP63
1389,TMEM41A
1390,SLC25A3
1391,MLPH
1392,VBP1
1393,MYO10
1394,CIRBP
1395,CEP170B
1396,CCNH
1397,ATP6V1C2
1398,TEAD4
1399,C8G
1400,EIF3D
1401,TRRAP
1402,TFCP2L1
1403,HIGD1A
1404,FOXRED1
1405,NUMB
1406,SKP1
1407,CEP70
1408,STARD3NL
1409,MAN2A1
1410,CXCL9
1411,WASF3
1412,DPY19L1
1413,HLA-F
1414,SERPINB1
1415,TIMM17A
1416,PRICKLE2
1417,NUP43
1418,ORC4
1419,MYZAP
1420,ZNF335
1421,CARS
1422,PQLC2
1423,ZNF148
1424,TUBGCP3
1425,PLK2
1426,PIAS3
1427,GON4L
1428,TPPP3
1429,UBA5
1430,LONP1
1431,PAPOLA
1432,AK8
1433,MYO5B
1434,CACNA2D1
1435,KRT81
1436,HHATL
1437,RAB7B
1438,PTPRZ1
1439,SLC27A3
1440,ACKR3
1441,TEF
1442,INO80
1443,IGLL5
1444,RBSN
1445,DDC
1446,TEKT1
1447,PLS3
1448,GJB4
1449,ODF2
1450,PXDN
1451,B4GALT1
1452,NFKBIE
1453,SENP6
1454,ASCC3
1455,MACROD1
1456,TIGD2
1457,ZNF275
1458,ADAM10
1459,FOS
1460,APMAP
1461,CTNNAL1
1462,SETMAR
1463,CLDN6
1464,DSE
1465,OXLD1
1466,TRIM71
1467,GPRC5A
1468,MAFF
1469,MRPL1
1470,SCAMP3
1471,MCU
1472,FBXW4
1473,PEX6
1474,ULBP2
1475,IMPDH1
1476,SLC39A8
1477,GNAI1
1478,VWA5A
1479,MTTP
1480,ARL2
1481,DPY19L4
1482,ADAP2
1483,SENP2
1484,CYFIP2
1485,MLC1
1486,DSC3
1487,BMP8B
1488,STIM1
1489,HIST1H3C
1490,ARHGEF11
1491,GOLGA1
1492,SLC1A3
1493,IFI16
1494,TNS4
1495,CARM1
1496,PPIF
1497,NCBP1
1498,TEX101
1499,BRD1
1500,IL18R1
1501,ATG3
1502,ARHGAP31
1503,ARHGEF25
1504,MRPL13
1505,DIS3
1506,NEURL1
1507,AUH
1508,PI3
1509,GTF3C2
1510,FCRL2
1511,CAPSL
1512,URI1
1513,WIZ
1514,GIMAP2
1515,HIST4H4
1516,YTHDC1
1517,SRP19
1518,OS9
1519,MAP2K1
1520,ADRB1
1521,ELP3
1522,FCGR3B
1523,MSX2
1524,HDAC2
1525,AAMDC
1526,CLSTN1
1527,PCDH12
1528,PLSCR4
1529,ERBB3
1530,USP19
1531,BLVRB
1532,TSPYL2
1533,UNC119B
1534,TGFB2
1535,PAM16
1536,VDAC3
1537,ZNF503
1538,IRF8
1539,RAD23B
1540,PRKDC
1541,KIF3B
1542,TGM1
1543,KDM3A
1544,IGSF10
1545,PEMT
1546,SOX2
1547,CAB39
1548,HIST1H3D
1549,CSNK1E
1550,SUSD3
1551,PI4KA
1552,PICALM
1553,EIF4H
1554,SCRN1
1555,GAL3ST1
1556,XPO7
1557,SCAND1
1558,ZNF678
1559,KIAA1324L
1560,SNRPE
1561,TM4SF20
1562,CHRNA1
1563,RAB40C
1564,ST6GALNAC6
1565,FABP4
1566,C2CD2
1567,SUMO2
1568,DDX3Y
1569,BCLAF1
1570,ELN
1571,KCNJ12
1572,YIPF4
1573,LEFTY2
1574,TGS1
1575,NAGK
1576,HIST1H4L
1577,SERPINF1
1578,ATF7IP
1579,HCFC1
1580,OTUB1
1581,CRISP2
1582,HS3ST2
1583,TNFSF9
1584,DTX3L
1585,B3GNT3
1586,MDK
1587,PDHX
1588,EID1
1589,LHFPL3
1590,TRIM55
1591,HLA-E
1592,PTK2
1593,SF3B5
1594,LSR
1595,FBLN5
1596,UPF1
1597,ARCN1
1598,CDK5
1599,HSBP1
1600,CNOT6
1601,LDOC1
1602,FAM83D
1603,PDIA2
1604,CNIH2
1605,NAAA
1606,BTBD6
1607,TRMT61A
1608,PPT1
1609,FKBP8
1610,CAMK2D
1611,DDX24
1612,SOX3
1613,VASH1
1614,SLC35E1
1615,TAC3
1616,AP3B1
1617,DNAH9
1618,SEC24C
1619,CNNM3
1620,ZAP70
1621,TMEM14A
1622,RBP7
1623,MRPL57
1624,CYC1
1625,LPAR6
1626,BRD7
1627,METAP1
1628,NMD3
1629,TMTC3
1630,CBLN1
1631,NTSR1
1632,DDX28
1633,TXNDC17
1634,CFL1
1635,RNF6
1636,AFTPH
1637,BSG
1638,KHDRBS1
1639,RPL37
1640,HDAC7
1641,FOXRED2
1642,ALDH1L2
1643,ENO3
1644,GRHL3
1645,DEFA5
1646,RUSC1
1647,LAMTOR2
1648,RHOU
1649,ST6GALNAC4
1650,DAP3
1651,ACE
1652,MSI2
1653,NPPC
1654,DKC1
1655,FYN
1656,ROPN1L
1657,C9orf24
1658,APCDD1
1659,CYP2A6
1660,DNASE2
1661,DNPH1
1662,ARHGEF2
1663,PLEKHG6
1664,FDXR
1665,SEMA3A
1666,TK2
1667,EPB41L5
1668,NSL1
1669,RPL19
1670,CPSF1
1671,HDGF
1672,HPN
1673,PCGF1
1674,HTR3A
1675,SLC16A12
1676,GBP2
1677,SERTM1
1678,ZFP62
1679,TOP2A
1680,UPK1B
1681,CISD2
1682,TMEM181
1683,ZNRD1
1684,ANXA1
1685,PLAGL1
1686,LAMTOR5
1687,SGPP1
1688,LAMTOR3
1689,ARRB2
1690,FAM98B
1691,PXMP4
1692,EGLN3
1693,TSPAN33
1694,ZMIZ1
1695,TAZ
