,TCGA,miRTarBase
1362,hsa-mir-890,hsa-miR-890
1363,hsa-mir-891a,hsa-miR-891a-3p
1364,hsa-mir-891b,hsa-miR-891b
1365,hsa-mir-892a,hsa-miR-892a
1366,hsa-mir-892b,hsa-miR-892b
1367,hsa-mir-892c,hsa-miR-892c-5p
1368,hsa-mir-921,hsa-miR-921
1369,hsa-mir-922,hsa-miR-922
1370,hsa-mir-92a-1,hsa-miR-92a-1-5p
1371,hsa-mir-92a-2,hsa-miR-92a-2-5p
1372,hsa-mir-92b,hsa-miR-92b-5p
1373,hsa-mir-93,hsa-miR-93-5p
1374,hsa-mir-933,hsa-miR-933
1375,hsa-mir-934,hsa-miR-934
1376,hsa-mir-935,hsa-miR-935
1377,hsa-mir-936,hsa-miR-936
1378,hsa-mir-937,hsa-miR-937-5p
1379,hsa-mir-938,hsa-miR-938
1380,hsa-mir-939,hsa-miR-939-3p
1381,hsa-mir-940,hsa-miR-940
1382,hsa-mir-942,hsa-miR-942-5p
1383,hsa-mir-943,hsa-miR-943
1384,hsa-mir-944,hsa-miR-944
1385,hsa-mir-95,hsa-miR-95-3p
1386,hsa-mir-96,hsa-miR-96-5p
1387,hsa-mir-98,hsa-miR-98-5p
1388,hsa-mir-99a,hsa-miR-99a-3p
1389,hsa-mir-99b,hsa-miR-99b-5p
