,0
1402,HS3ST2
1403,TNFSF9
1404,DTX3L
1405,B3GNT3
1406,MDK
1407,PDHX
1408,EID1
1409,TRIM55
1410,HLA-E
1411,PTK2
1412,SF3B5
1413,LSR
1414,FBLN5
1415,UPF1
1416,NME6
1417,ARCN1
1418,CDK5
1419,HSBP1
1420,CNOT6
1421,LDOC1
1422,FAM83D
1423,PDIA2
1424,NAAA
1425,BTBD6
1426,TRMT61A
1427,PPT1
1428,FKBP8
1429,CAMK2D
1430,DDX24
1431,SLC35E1
1432,RHOXF2
1433,TAC3
1434,SOAT2
1435,AP3B1
1436,SEC24C
1437,CNNM3
1438,ZAP70
1439,TMEM14A
1440,RBP7
1441,MRPL57
1442,CYC1
1443,LPAR6
1444,BRD7
1445,METAP1
1446,NMD3
1447,DDX28
1448,TXNDC17
1449,CFL1
1450,RNF6
1451,AFTPH
1452,BSG
1453,KHDRBS1
1454,RPL37
1455,HDAC7
1456,FOXRED2
1457,ENO3
1458,DEFA5
1459,RUSC1
1460,LAMTOR2
1461,RHOU
1462,ST6GALNAC4
1463,DAP3
1464,DKC1
1465,FYN
1466,APCDD1
1467,CYP2A6
1468,DNASE2
1469,DNPH1
1470,ARHGEF2
1471,PLEKHG6
1472,FDXR
1473,TK2
1474,EPB41L5
1475,NSL1
1476,RPL19
1477,CPSF1
1478,HDGF
1479,TMEM52B
1480,HPN
1481,PCGF1
1482,HTR3A
1483,SLC16A12
1484,GBP2
1485,ZFP62
1486,TOP2A
1487,ZNRD1
1488,CISD2
1489,TMEM181
1490,ANXA1
1491,LAMTOR5
1492,SGPP1
1493,LAMTOR3
1494,ARRB2
1495,PXMP4
1496,EGLN3
1497,TSPAN33
1498,SH3GL3
1499,ZMIZ1
1500,TAZ
1501,MYCBP
1502,CASP6
1503,ENTPD8
1504,KCTD10
1505,BCKDK
1506,CARD6
1507,TACC1
1508,PTPRA
1509,PPP2R5B
1510,FBXL15
1511,LTF
1512,CHN1
1513,SETDB1
1514,TMEM11
1515,MTX2
1516,SLC41A1
1517,BPIFA2
1518,RHOT1
1519,PCGF3
1520,YBX1
1521,DSP
1522,NAPG
1523,ITGA6
1524,ANGPTL2
1525,ZNF32
1526,FGL1
1527,SKA1
1528,RAB4A
1529,PNLIP
1530,CYP39A1
1531,RFX5
1532,SDC3
1533,ATP1A2
1534,DNAJC21
1535,CDC34
1536,OXA1L
1537,TC2N
1538,ABR
1539,PARD6B
1540,NUDT7
1541,RNF11
1542,ATP2A2
1543,CGN
1544,ARHGEF16
1545,SNF8
1546,TNF
1547,SLC7A7
1548,RABEP1
1549,CLPX
1550,AGT
1551,SLC27A2
1552,ACE2
1553,GTPBP4
1554,ACACA
1555,IMMP2L
1556,MAPK8IP1
1557,LPAR1
1558,CDH12
1559,CLEC3B
1560,HSPE1
1561,KCTD17
1562,ZYX
1563,CCNB1IP1
1564,MMADHC
1565,CYP4V2
1566,MOB4
1567,EMP1
1568,PPIA
1569,GAL3ST4
1570,TBC1D2
1571,SULF1
1572,SOX1
1573,DCTN4
1574,ERGIC3
1575,RBCK1
1576,TMEM248
1577,TBC1D4
1578,GPR183
1579,ALKBH4
1580,ZFP90
1581,SDCBP
1582,BLZF1
1583,SMC5
1584,BCL6B
1585,KPNA3
1586,LRFN3
1587,NINL
1588,MARCH5
1589,SORL1
1590,QDPR
1591,LGR4
1592,RBM38
1593,EDF1
1594,AKAP9
1595,FZD1
1596,RGS4
1597,PLA2G4C
1598,SPPL2B
1599,GFPT2
1600,POFUT1
1601,KIFC1
1602,NR2C1
1603,ZFYVE21
1604,SMAD3
1605,GDF2
1606,NDN
1607,RMND1
1608,MCAM
1609,ARNT
1610,ARHGDIB
1611,MTMR7
1612,PLA2G4A
1613,NUP98
1614,SLC19A2
1615,PILRA
